nama_jurusan,url
Agribisnis,https://vokasi.uns.ac.id/program-studi/d3-agribisnis
Akuntansi,https://vokasi.uns.ac.id/program-studi/d3-akuntansi
Bahasa Mandarin,https://vokasi.uns.ac.id/program-studi/d3-bahasa-mandarin
Budidaya Ternak,https://vokasi.uns.ac.id/program-studi/d3-budidaya-ternak
Demografi dan Pencatatan Sipil,https://vokasi.uns.ac.id/program-studi/d4-demografi-dan-pencatatan-sipil
Desain Komunikasi Visual,https://vokasi.uns.ac.id/program-studi/d3-desain-komunikasi-visual
Farmasi,https://vokasi.uns.ac.id/program-studi/d3-farmasi
K3,https://vokasi.uns.ac.id/program-studi/d4-keselamatan-dan-kesehatan-kerja
Kebidanan,https://vokasi.uns.ac.id/program-studi/d3-kebidanan
Keperawatan Anestesiologi,https://vokasi.uns.ac.id/program-studi/d4-keperawatan-anestesiologi
Keuangan Perbankan,https://vokasi.uns.ac.id/program-studi/d3-keuangan-perbankan
Komunikasi Terapan,https://vokasi.uns.ac.id/program-studi/d3-komunikasi-terapan
Manajemen Administrasi,https://vokasi.uns.ac.id/program-studi/d3-manajemen-administrasi
Manajemen Bisnis,https://vokasi.uns.ac.id/program-studi/d3-manajemen-bisnis
Manajemen Pemasaran,https://vokasi.uns.ac.id/program-studi/d3-manajemen-pemasaran
Manajemen Perdagangan,https://vokasi.uns.ac.id/program-studi/d3-manajemen-perdagangan
Perpajakan,https://vokasi.uns.ac.id/program-studi/d3-perpajakan
Perpustakaan,https://vokasi.uns.ac.id/program-studi/d3-perpustakaan
Teknik Informatika,https://vokasi.uns.ac.id/program-studi/d3-teknik-informatika
Teknik Kimia,https://vokasi.uns.ac.id/program-studi/d3-teknik-kimia
Teknik Mesin,https://vokasi.uns.ac.id/program-studi/d3-teknik-mesin
Teknik Sipil,https://vokasi.uns.ac.id/program-studi/d3-teknik-sipil
Teknologi Hasil Pertanian PSDKU,https://vokasi.uns.ac.id/program-studi/d3-teknologi-hasil-pertanian-psdku
Usaha Perjalanan Wisata,https://vokasi.uns.ac.id/program-studi/d3-usaha-perjalanan-wisata
